CÓDIGO,NOMBRE,OBSERVACIONES,,,,
52334101,JUEGO DE LLAVES MÉTRICA (K. HTA),,,,,
52334201,JUEGO DE LLAVES ESTÁNDAR (K. HTA),,,,,
52334301,JUEGO DE LLAVES ALLEN (MÉTRICA/ESTÁNDAR),,,,,
52334401,PINZAS DE PUNTA/CORTE,,,,,
52334402,PINZAS DE PUNTA/CORTE,,,,,
52334403,PINZAS DE PUNTA/CORTE,,,,,
52334501,PINZAS DE CHOFER,,,,,
52334601,PINZAS DE ELECTRICISTA,,,,,
52334701,LLAVE DE AJUSTE,,,,,
52334801,PINZAS DE PRESIÓN,,,,,
52337201,KIT DE BROCAS SKIL,,,,,
52337202,BROCA PARA CONCRETO,,,,,
52337203,KIT 10 BROCAS MIXTO TRIUMPH,,,,,
52337204,KIT 9 BROCAS MIXTO TRUPER,,,,,
52338401,(JUEGO DE LLAVES) LLAVE 1/4,,,,,
52338402,(JUEGO DE LLAVES) LLAVE 5/16,,,,,
52338403,(JUEGO DE LLAVES) LLAVE 3/8,,,,,
52338404,(JUEGO DE LLAVES) LLAVE 7/16,,,,,
52338405,(JUEGO DE LLAVES) LLAVE 1/2,,,,,
52338406,(JUEGO DE LLAVES) LLAVE 9/16,,,,,
52338407,(JUEGO DE LLAVES) LLAVE 5/8,,,,,
52338408,(JUEGO DE LLAVES) LLAVE 11/16,,,,,
52338409,(JUEGO DE LLAVES) LLAVE 3/4,,,,,
52338410,(JUEGO DE LLAVES) LLAVE 7/16,,,,,
52338411,(JUEGO DE LLAVES) LLAVE 8mm,,,,,
52338412,(JUEGO DE LLAVES) LLAVE 9mm,,,,,
52338413,(JUEGO DE LLAVES) LLAVE 10mm,,,,,
52338414,(JUEGO DE LLAVES) LLAVE 11mm,,,,,
52338415,(JUEGO DE LLAVES) LLAVE 12mm,,,,,
52338416,(JUEGO DE LLAVES) LLAVE 13mm,,,,,
52338417,(JUEGO DE LLAVES) LLAVE 14mm,,,,,
52338418,(JUEGO DE LLAVES) LLAVE 15mm,,,,,
52338419,(JUEGO DE LLAVES) LLAVE 17mm,,,,,
52338420,(JUEGO DE LLAVES) LLAVE 18mm,,,,,
52339001,EXTENCION,,,,,
53051201,JUEGO LEGO 500 PIEZAS,,,,,
53051202,JUEGO LEGO 500 PIEZAS,,,,,
53051203,JUEGO LEGO 500 PIEZAS,,,,,
53051204,JUEGO LEGO 500 PIEZAS,,,,,
53051205,JUEGO LEGO 500 PIEZAS,,,,,
53051206,JUEGO LEGO 500 PIEZAS,,,,,
53131701,DESARMADOR VERDE,,,,,
53131702,DESARMADOR VERDE,,,,,
53131703,DESARMADOR VERDE,,,,,
53131704,DESARMADOR VERDE,,,,,
53131705,DESARMADOR VERDE,,,,,
53131706,DESARMADOR VERDE,,,,,
53131707,DESARMADOR VERDE,,,,,
53131708,DESARMADOR VERDE,,,,,
53131709,DESARMADOR VERDE,,,,,
53131710,DESARMADOR VERDE,,,,,
53131711,DESARMADOR VERDE,,,,,
53131712,DESARMADOR VERDE,,,,,
53131713,DESARMADOR VERDE,,,,,
53131714,DESARMADOR VERDE,,,,,
53131715,DESARMADOR VERDE,,,,,
53131716,DESARMADOR VERDE,,,,,
53131717,DESARMADOR VERDE,,,,,
53131718,DESARMADOR VERDE,,,,,
53131719,DESARMADOR VERDE,,,,,
53131720,DESARMADOR VERDE,,,,,
53131721,DESARMADOR VERDE,,,,,
53131722,DESARMADOR VERDE,,,,,
53131723,DESARMADOR VERDE,,,,,
53131724,DESARMADOR VERDE,,,,,
53151101,JUEGO LEGO 650 PIEZAS,,,,,
53151102,JUEGO LEGO 650 PIEZAS,,,,,
53151301,JUEGO LEGO 950 PIEZAS,,,,,
53151401,PRESENTADOR,,,,,
53151402,PRESENTADOR,,,,,
53151403,PRESENTADOR,,,,,
53151404,PRESENTADOR,,,,,
53151405,PRESENTADOR,,,,,
53151406,PRESENTADOR,,,,,
53151407,PRESENTADOR,,,,,
53151408,PRESENTADOR,,,,,
53151409,PRESENTADOR,,,,,
53151410,PRESENTADOR,,,,,
53151411,PRESENTADOR,,,,,
53151412,PRESENTADOR,,,,,
53151413,PRESENTADOR,,,,,
53151414,PRESENTADOR,,,,,
53151415,PRESENTADOR,,,,,
53151416,PRESENTADOR,,,,,
53151417,PRESENTADOR,,,,,
53151418,PRESENTADOR,,,,,
53151419,PRESENTADOR,,,,,
53151420,PRESENTADOR,,,,,
53151421,PRESENTADOR,,,,,
53152101,CARRITO DE METAL,,,,,
53152102,CARRITO DE METAL,,,,,
53152103,CARRITO DE METAL,,,,,
53152104,CARRITO DE METAL,,,,,
53152105,CARRITO DE METAL,,,,,
53152106,CARRITO DE METAL,,,,,
53152107,CARRITO DE METAL,,,,,
53152108,CARRITO DE METAL,,,,,
53152109,CARRITO DE METAL,,,,,
53152110,CARRITO DE METAL,,,,,
53152111,CARRITO DE METAL,,,,,
53152112,CARRITO DE METAL,,,,,
53152113,CARRITO DE METAL,,,,,
53152114,CARRITO DE METAL,,,,,
53152115,CARRITO DE METAL,,,,,
53152116,CARRITO DE METAL,,,,,
53152117,CARRITO DE METAL,,,,,
53152118,CARRITO DE METAL,,,,,
53152119,CARRITO DE METAL,,,,,
53152120,CARRITO DE METAL,,,,,
53152121,CARRITO DE METAL,,,,,
53152122,CARRITO DE METAL,,,,,
53152123,CARRITO DE METAL,,,,,
53152124,CARRITO DE METAL,,,,,
53152125,CARRITO DE METAL,,,,,
